Chr	Start	End	Strand	TSS	ID	EnsID	Type	Symbol
32	chr1	1011997	1013193	-	chr1:1013193	chr1:1011997-1013193	ENSG00000224969	lncRNA	AL645608.1
33	chr1	1020120	1056118	+	chr1:1020120	chr1:1020120-1056118	ENSG00000188157	protein_coding	AGRN
34	chr1	1055033	1056116	+	chr1:1055033	chr1:1055033-1056116	ENSG00000242590	lncRNA	AL645608.5
35	chr1	1062208	1063288	-	chr1:1063288	chr1:1062208-1063288	ENSG00000273443	lncRNA	AL645608.8
36	chr1	1070967	1074306	-	chr1:1074306	chr1:1070967-1074306	ENSG00000237330	protein_coding	RNF223
37	chr1	1081818	1116361	-	chr1:1116361	chr1:1081818-1116361	ENSG00000131591	protein_coding	C1orf159
38	chr1	1097585	1104598	+	chr1:1097585	chr1:1097585-1104598	ENSG00000285812	lncRNA	AL390719.3
39	chr1	1137017	1144056	+	chr1:1137017	chr1:1137017-1144056	ENSG00000223823	lncRNA	LINC01342
40	chr1	1169357	1170343	+	chr1:1169357	chr1:1169357-1170343	ENSG00000272141	lncRNA	AL390719.2
41	chr1	1173056	1179555	-	chr1:1179555	chr1:1173056-1179555	ENSG00000205231	lncRNA	TTLL10-AS1
42	chr1	1173884	1197935	+	chr1:1173884	chr1:1173884-1197935	ENSG00000162571	protein_coding	TTLL10
43	chr1	1203508	1206592	-	chr1:1206592	chr1:1203508-1206592	ENSG00000186891	protein_coding	TNFRSF18
44	chr1	1211340	1214153	-	chr1:1214153	chr1:1211340-1214153	ENSG00000186827	protein_coding	TNFRSF4
45	chr1	1216908	1232067	-	chr1:1232067	chr1:1216908-1232067	ENSG00000078808	protein_coding	SDF4
46	chr1	1232237	1235041	+	chr1:1232237	chr1:1232237-1235041	ENSG00000176022	protein_coding	B3GALT6
47	chr1	1242446	1246722	-	chr1:1246722	chr1:1242446-1246722	ENSG00000184163	protein_coding	C1QTNF12
48	chr1	1249777	1251334	-	chr1:1251334	chr1:1249777-1251334	ENSG00000260179	lncRNA	AL162741.1
49	chr1	1253909	1273885	-	chr1:1273885	chr1:1253909-1273885	ENSG00000160087	protein_coding	UBE2J2
50	chr1	1275223	1280420	+	chr1:1275223	chr1:1275223-1280420	ENSG00000230415	lncRNA	LINC01786
51	chr1	1280436	1292029	+	chr1:1280436	chr1:1280436-1292029	ENSG00000162572	protein_coding	SCNN1D
52	chr1	1292390	1309609	-	chr1:1309609	chr1:1292390-1309609	ENSG00000131584	protein_coding	ACAP3
53	chr1	1308597	1311677	+	chr1:1308597	chr1:1308597-1311677	ENSG00000169972	protein_coding	PUSL1
54	chr1	1311585	1324691	-	chr1:1324691	chr1:1311585-1324691	ENSG00000127054	protein_coding	INTS11
55	chr1	1317581	1318689	-	chr1:1318689	chr1:1317581-1318689	ENSG00000240731	lncRNA	AL139287.1
56	chr1	1324756	1328896	+	chr1:1324756	chr1:1324756-1328896	ENSG00000224051	protein_coding	CPTP
57	chr1	1331280	1335314	+	chr1:1331280	chr1:1331280-1335314	ENSG00000169962	protein_coding	TAS1R3
58	chr1	1335276	1349418	-	chr1:1349418	chr1:1335276-1349418	ENSG00000107404	protein_coding	DVL1
59	chr1	1352689	1361777	-	chr1:1361777	chr1:1352689-1361777	ENSG00000162576	protein_coding	MXRA8
60	chr1	1373730	1375495	-	chr1:1375495	chr1:1373730-1375495	ENSG00000175756	protein_coding	AURKAIP1
61	chr1	1385711	1399335	-	chr1:1399335	chr1:1385711-1399335	ENSG00000221978	protein_coding	CCNL2
62	chr1	1399520	1402046	+	chr1:1399520	chr1:1399520-1402046	ENSG00000224870	lncRNA	MRPL20-AS1
63	chr1	1401909	1407293	-	chr1:1407293	chr1:1401909-1407293	ENSG00000242485	protein_coding	MRPL20
64	chr1	1409096	1410618	+	chr1:1409096	chr1:1409096-1410618	ENSG00000272455	lncRNA	AL391244.2
65	chr1	1418420	1421769	-	chr1:1421769	chr1:1418420-1421769	ENSG00000235098	protein_coding	ANKRD65
66	chr1	1420245	1422691	+	chr1:1420245	chr1:1420245-1422691	ENSG00000225905	lncRNA	AL391244.1
67	chr1	1426128	1427787	+	chr1:1426128	chr1:1426128-1427787	ENSG00000205116	protein_coding	TMEM88B
68	chr1	1430539	1434573	-	chr1:1434573	chr1:1430539-1434573	ENSG00000225285	lncRNA	LINC01770
69	chr1	1434861	1442882	+	chr1:1434861	chr1:1434861-1442882	ENSG00000179403	protein_coding	VWA1
70	chr1	1449689	1470163	+	chr1:1449689	chr1:1449689-1470163	ENSG00000215915	protein_coding	ATAD3C
71	chr1	1471765	1497848	+	chr1:1471765	chr1:1471765-1497848	ENSG00000160072	protein_coding	ATAD3B
72	chr1	1512162	1534685	+	chr1:1512162	chr1:1512162-1534685	ENSG00000197785	protein_coding	ATAD3A
73	chr1	1534778	1540624	-	chr1:1540624	chr1:1534778-1540624	ENSG00000205090	protein_coding	TMEM240
74	chr1	1541673	1574863	-	chr1:1574863	chr1:1541673-1574863	ENSG00000160075	protein_coding	SSU72
75	chr1	1574102	1577075	+	chr1:1574102	chr1:1574102-1577075	ENSG00000215014	lncRNA	AL645728.1
76	chr1	1598012	1600135	-	chr1:1600135	chr1:1598012-1600135	ENSG00000228594	protein_coding	FNDC10
77	chr1	1600314	1602703	+	chr1:1600314	chr1:1600314-1602703	ENSG00000286989	lncRNA	AL691432.4
78	chr1	1613758	1615795	-	chr1:1615795	chr1:1613758-1615795	ENSG00000272106	lncRNA	AL691432.2
79	chr1	1615415	1630610	+	chr1:1615415	chr1:1615415-1630610	ENSG00000197530	protein_coding	MIB2
80	chr1	1632163	1635263	+	chr1:1632163	chr1:1632163-1635263	ENSG00000189409	protein_coding	MMP23B
81	chr1	1635227	1659012	-	chr1:1659012	chr1:1635227-1659012	ENSG00000248333	protein_coding	CDK11B
82	chr1	1659325	1662602	+	chr1:1659325	chr1:1659325-1662602	ENSG00000272004	lncRNA	FO704657.1
83	chr1	1659529	1692795	-	chr1:1692795	chr1:1659529-1692795	ENSG00000189339	protein_coding	SLC35E2B
84	chr1	1702379	1724357	-	chr1:1724357	chr1:1702379-1724357	ENSG00000008128	protein_coding	CDK11A
85	chr1	1724838	1745999	-	chr1:1745999	chr1:1724838-1745999	ENSG00000215790	protein_coding	SLC35E2A
86	chr1	1751232	1780457	-	chr1:1780457	chr1:1751232-1780457	ENSG00000008130	protein_coding	NADK
87	chr1	1785285	1891117	-	chr1:1891117	chr1:1785285-1891117	ENSG00000078369	protein_coding	GNB1
88	chr1	1891471	1892658	+	chr1:1891471	chr1:1891471-1892658	ENSG00000231050	lncRNA	AL109917.1
89	chr1	1915108	1917296	+	chr1:1915108	chr1:1915108-1917296	ENSG00000169885	protein_coding	CALML6
90	chr1	1917590	1919279	-	chr1:1919279	chr1:1917590-1919279	ENSG00000178821	protein_coding	TMEM52
91	chr1	1921951	2003837	-	chr1:2003837	chr1:1921951-2003837	ENSG00000142609	protein_coding	CFAP74
92	chr1	2013213	2015639	-	chr1:2015639	chr1:2013213-2015639	ENSG00000233542	lncRNA	AL391845.2
93	chr1	2019329	2030758	+	chr1:2019329	chr1:2019329-2030758	ENSG00000187730	protein_coding	GABRD
94	chr1	2049203	2050070	-	chr1:2050070	chr1:2049203-2050070	ENSG00000226969	lncRNA	AL391845.1
95	chr1	2050411	2185395	+	chr1:2050411	chr1:2050411-2185395	ENSG00000067606	protein_coding	PRKCZ
96	chr1	2141084	2145279	-	chr1:2145279	chr1:2141084-2145279	ENSG00000271806	lncRNA	AL590822.2
97	chr1	2181794	2184389	-	chr1:2184389	chr1:2181794-2184389	ENSG00000182873	lncRNA	PRKCZ-AS1
98	chr1	2184461	2212720	-	chr1:2212720	chr1:2184461-2212720	ENSG00000162585	protein_coding	FAAP20
99	chr1	2212523	2220738	+	chr1:2212523	chr1:2212523-2220738	ENSG00000234396	lncRNA	AL590822.1
100	chr1	2228319	2310213	+	chr1:2228319	chr1:2228319-2310213	ENSG00000157933	protein_coding	SKI
101	chr1	2315040	2323085	+	chr1:2315040	chr1:2315040-2323085	ENSG00000287356	lncRNA	AL590822.3
102	chr1	2321253	2391707	-	chr1:2391707	chr1:2321253-2391707	ENSG00000116151	protein_coding	MORN1
103	chr1	2326201	2326693	-	chr1:2326693	chr1:2326201-2326693	ENSG00000272161	lncRNA	AL589739.1
104	chr1	2363061	2363628	-	chr1:2363628	chr1:2363061-2363628	ENSG00000272420	lncRNA	AL513477.2
105	chr1	2391775	2405442	+	chr1:2391775	chr1:2391775-2405442	ENSG00000157916	protein_coding	RER1
106	chr1	2403964	2413797	-	chr1:2413797	chr1:2403964-2413797	ENSG00000157911	protein_coding	PEX10
107	chr1	2425980	2505532	+	chr1:2425980	chr1:2425980-2505532	ENSG00000149527	protein_coding	PLCH2
108	chr1	2492300	2493258	-	chr1:2493258	chr1:2492300-2493258	ENSG00000224387	lncRNA	AL139246.1
109	chr1	2493437	2494479	-	chr1:2494479	chr1:2493437-2494479	ENSG00000229393	lncRNA	AL139246.4
110	chr1	2508537	2526611	-	chr1:2526611	chr1:2508537-2526611	ENSG00000157881	protein_coding	PANK4
111	chr1	2528745	2530263	-	chr1:2530263	chr1:2528745-2530263	ENSG00000197921	protein_coding	HES5
112	chr1	2530064	2547460	+	chr1:2530064	chr1:2530064-2547460	ENSG00000272449	lncRNA	AL139246.5
113	chr1	2549920	2557031	-	chr1:2557031	chr1:2549920-2557031	ENSG00000238164	lncRNA	TNFRSF14-AS1
114	chr1	2555639	2565382	+	chr1:2555639	chr1:2555639-2565382	ENSG00000157873	protein_coding	TNFRSF14
115	chr1	2581560	2584533	+	chr1:2581560	chr1:2581560-2584533	ENSG00000228037	lncRNA	AL139246.3
116	chr1	2586491	2591469	+	chr1:2586491	chr1:2586491-2591469	ENSG00000157870	protein_coding	PRXL2B
117	chr1	2590639	2633016	-	chr1:2633016	chr1:2590639-2633016	ENSG00000142606	protein_coding	MMEL1
118	chr1	2632568	2636620	+	chr1:2632568	chr1:2632568-2636620	ENSG00000237058	lncRNA	AL831784.1
119	chr1	2635976	2801717	-	chr1:2801717	chr1:2635976-2801717	ENSG00000215912	protein_coding	TTC34
120	chr1	2768091	2784733	+	chr1:2768091	chr1:2768091-2784733	ENSG00000285945	lncRNA	AC242022.2
121	chr1	2773603	2776473	+	chr1:2773603	chr1:2773603-2776473	ENSG00000283259	lncRNA	AC242022.1
122	chr1	2811850	2812692	-	chr1:2812692	chr1:2811850-2812692	ENSG00000233234	lncRNA	AL592464.2
123	chr1	2814056	2817767	+	chr1:2814056	chr1:2814056-2817767	ENSG00000287396	lncRNA	AL592464.3
124	chr1	2814432	2814998	-	chr1:2814998	chr1:2814432-2814998	ENSG00000231630	lncRNA	AL592464.1
125	chr1	2960658	2968707	-	chr1:2968707	chr1:2960658-2968707	ENSG00000284745	lncRNA	AL589702.1
126	chr1	3021467	3022903	+	chr1:3021467	chr1:3021467-3022903	ENSG00000169717	protein_coding	ACTRT2
127	chr1	3059615	3068437	-	chr1:3068437	chr1:3059615-3068437	ENSG00000177133	lncRNA	PRDM16-DT
128	chr1	3069168	3438621	+	chr1:3069168	chr1:3069168-3438621	ENSG00000142611	protein_coding	PRDM16
129	chr1	3132927	3133709	-	chr1:3133709	chr1:3132927-3133709	ENSG00000226286	lncRNA	AL008733.1
130	chr1	3306636	3310096	-	chr1:3310096	chr1:3306636-3310096	ENSG00000272235	lncRNA	AL590438.1
131	chr1	3313052	3323149	-	chr1:3323149	chr1:3313052-3323149	ENSG00000287828	lncRNA	AL354743.2
132	chr1	3367815	3373928	-	chr1:3373928	chr1:3367815-3373928	ENSG00000286518	lncRNA	AL354743.1
133	chr1	3454665	3481113	+	chr1:3454665	chr1:3454665-3481113	ENSG00000130762	protein_coding	ARHGEF16
134	chr1	3487246	3487627	+	chr1:3487246	chr1:3487246-3487627	ENSG00000272088	lncRNA	AL512413.1
135	chr1	3487951	3611508	-	chr1:3611508	chr1:3487951-3611508	ENSG00000162591	protein_coding	MEGF6
136	chr1	3623190	3624743	-	chr1:3624743	chr1:3623190-3624743	ENSG00000238260	lncRNA	AL513320.1
137	chr1	3625015	3630127	+	chr1:3625015	chr1:3625015-3630127	ENSG00000158109	protein_coding	TPRG1L
138	chr1	3630767	3652761	-	chr1:3652761	chr1:3630767-3652761	ENSG00000116213	protein_coding	WRAP73
139	chr1	3652516	3736201	+	chr1:3652516	chr1:3652516-3736201	ENSG00000078900	protein_coding	TP73
140	chr1	3658938	3668772	-	chr1:3668772	chr1:3658938-3668772	ENSG00000227589	lncRNA	AL136528.1
141	chr1	3712200	3714298	-	chr1:3714298	chr1:3712200-3714298	ENSG00000235131	lncRNA	AL136528.2
142	chr1	3746460	3771645	+	chr1:3746460	chr1:3746460-3771645	ENSG00000162592	protein_coding	CCDC27
143	chr1	3772761	3775982	+	chr1:3772761	chr1:3772761-3775982	ENSG00000235169	protein_coding	SMIM1
144	chr1	3778559	3796498	-	chr1:3796498	chr1:3778559-3796498	ENSG00000130764	protein_coding	LRRC47
145	chr1	3785008	3785538	+	chr1:3785008	chr1:3785008-3785538	ENSG00000272153	lncRNA	AL365330.1
146	chr1	3812086	3857214	-	chr1:3857214	chr1:3812086-3857214	ENSG00000116198	protein_coding	CEP104
147	chr1	3857267	3885429	+	chr1:3857267	chr1:3857267-3885429	ENSG00000169598	protein_coding	DFFB
148	chr1	3889125	3900293	-	chr1:3900293	chr1:3889125-3900293	ENSG00000198912	protein_coding	C1orf174
149	chr1	3900352	3917225	+	chr1:3900352	chr1:3900352-3917225	ENSG00000236423	lncRNA	LINC01134
150	chr1	3940486	3955262	+	chr1:3940486	chr1:3940486-3955262	ENSG00000233304	lncRNA	LINC01346
151	chr1	3944547	3949024	-	chr1:3949024	chr1:3944547-3949024	ENSG00000226374	lncRNA	LINC01345
152	chr1	3976133	4012704	+	chr1:3976133	chr1:3976133-4012704	ENSG00000284668	lncRNA	LINC02780
153	chr1	4012921	4019508	-	chr1:4019508	chr1:4012921-4019508	ENSG00000284703	lncRNA	AL805961.1
154	chr1	4412027	4424689	+	chr1:4412027	chr1:4412027-4424689	ENSG00000235054	lncRNA	LINC01777
155	chr1	4479131	4484375	-	chr1:4484375	chr1:4479131-4484375	ENSG00000284694	lncRNA	AL355602.1
156	chr1	4551735	4552145	-	chr1:4552145	chr1:4551735-4552145	ENSG00000227169	lncRNA	Z98747.1
157	chr1	4571481	4594016	+	chr1:4571481	chr1:4571481-4594016	ENSG00000232596	lncRNA	LINC01646
158	chr1	4654609	4792534	+	chr1:4654609	chr1:4654609-4792534	ENSG00000196581	protein_coding	AJAP1
159	chr1	4730211	4734992	-	chr1:4734992	chr1:4730211-4734992	ENSG00000287586	lncRNA	Z98886.1
160	chr1	4963954	4973298	-	chr1:4973298	chr1:4963954-4973298	ENSG00000284739	lncRNA	BX005132.1
161	chr1	4973381	4981568	+	chr1:4973381	chr1:4973381-4981568	ENSG00000284674	lncRNA	LINC02781
162	chr1	5086459	5090899	-	chr1:5090899	chr1:5086459-5090899	ENSG00000231510	lncRNA	LINC02782
163	chr1	5301928	5307394	-	chr1:5307394	chr1:5301928-5307394	ENSG00000284616	lncRNA	AL139823.1
164	chr1	5478736	5493057	-	chr1:5493057	chr1:5478736-5493057	ENSG00000284692	lncRNA	Z98259.3
165	chr1	5480787	5482028	-	chr1:5482028	chr1:5480787-5482028	ENSG00000284666	lncRNA	Z98259.2
166	chr1	5492978	5494674	+	chr1:5492978	chr1:5492978-5494674	ENSG00000260972	lncRNA	Z98259.1
167	chr1	5561709	5668295	-	chr1:5668295	chr1:5561709-5668295	ENSG00000236948	lncRNA	AL365255.1
168	chr1	5862811	5992473	-	chr1:5992473	chr1:5862811-5992473	ENSG00000131697	protein_coding	NPHP4
169	chr1	5990927	6101193	+	chr1:5990927	chr1:5990927-6101193	ENSG00000069424	protein_coding	KCNAB2
170	chr1	6101787	6180321	-	chr1:6180321	chr1:6101787-6180321	ENSG00000116254	protein_coding	CHD5
171	chr1	6185020	6209389	-	chr1:6209389	chr1:6185020-6209389	ENSG00000116251	protein_coding	RPL22
172	chr1	6204840	6205780	-	chr1:6205780	chr1:6204840-6205780	ENSG00000226944	lncRNA	AL031847.1
173	chr1	6205475	6221299	+	chr1:6205475	chr1:6205475-6221299	ENSG00000158286	protein_coding	RNF207
174	chr1	6221193	6235972	-	chr1:6235972	chr1:6221193-6235972	ENSG00000116237	protein_coding	ICMT
175	chr1	6234692	6239444	+	chr1:6234692	chr1:6234692-6239444	ENSG00000225077	lncRNA	LINC00337
176	chr1	6244179	6245578	+	chr1:6244179	chr1:6244179-6245578	ENSG00000173673	protein_coding	HES3
177	chr1	6247353	6261098	-	chr1:6261098	chr1:6247353-6261098	ENSG00000158292	protein_coding	GPR153
178	chr1	6264269	6394391	-	chr1:6394391	chr1:6264269-6394391	ENSG00000097021	protein_coding	ACOT7
179	chr1	6393555	6394391	+	chr1:6393555	chr1:6393555-6394391	ENSG00000271746	lncRNA	AL031848.2
180	chr1	6412418	6424670	-	chr1:6424670	chr1:6412418-6424670	ENSG00000069812	protein_coding	HES2
181	chr1	6424776	6461367	+	chr1:6424776	chr1:6424776-6461367	ENSG00000187017	protein_coding	ESPN
182	chr1	6443034	6447006	-	chr1:6447006	chr1:6443034-6447006	ENSG00000231868	lncRNA	AL031848.1
183	chr1	6460786	6466195	-	chr1:6466195	chr1:6460786-6466195	ENSG00000215788	protein_coding	TNFRSF25
184	chr1	6466092	6520061	-	chr1:6520061	chr1:6466092-6520061	ENSG00000171680	protein_coding	PLEKHG5
185	chr1	6521347	6554513	-	chr1:6554513	chr1:6521347-6554513	ENSG00000162408	protein_coding	NOL9
186	chr1	6555307	6579755	+	chr1:6555307	chr1:6555307-6579755	ENSG00000173662	protein_coding	TAS1R1
187	chr1	6579994	6589280	+	chr1:6579994	chr1:6579994-6589280	ENSG00000204859	protein_coding	ZBTB48
188	chr1	6590724	6614607	-	chr1:6614607	chr1:6590724-6614607	ENSG00000162413	protein_coding	KLHL21
189	chr1	6613731	6624030	+	chr1:6613731	chr1:6613731-6624030	ENSG00000116273	protein_coding	PHF13
190	chr1	6624866	6635586	+	chr1:6624866	chr1:6624866-6635586	ENSG00000041988	protein_coding	THAP3
191	chr1	6634168	6701924	-	chr1:6701924	chr1:6634168-6701924	ENSG00000007923	protein_coding	DNAJC11
192	chr1	6724637	6730012	+	chr1:6724637	chr1:6724637-6730012	ENSG00000228750	lncRNA	LINC01672
193	chr1	6767954	6770038	+	chr1:6767954	chr1:6767954-6770038	ENSG00000284744	lncRNA	AL591163.1
194	chr1	6783892	6784843	-	chr1:6784843	chr1:6783892-6784843	ENSG00000237436	lncRNA	CAMTA1-DT
195	chr1	6785454	7769706	+	chr1:6785454	chr1:6785454-7769706	ENSG00000171735	protein_coding	CAMTA1
196	chr1	7008376	7014279	-	chr1:7014279	chr1:7008376-7014279	ENSG00000237365	lncRNA	AL512330.1
197	chr1	7368942	7370270	+	chr1:7368942	chr1:7368942-7370270	ENSG00000237402	lncRNA	CAMTA1-IT1
198	chr1	7382487	7389754	-	chr1:7389754	chr1:7382487-7389754	ENSG00000237728	lncRNA	Z97987.1
199	chr1	7441096	7441554	-	chr1:7441554	chr1:7441096-7441554	ENSG00000225126	lncRNA	AL365194.1
200	chr1	7693124	7694844	-	chr1:7694844	chr1:7693124-7694844	ENSG00000270171	lncRNA	AL359881.3
201	chr1	7698303	7698872	-	chr1:7698872	chr1:7698303-7698872	ENSG00000270035	lncRNA	AL359881.2
202	chr1	7700704	7700970	-	chr1:7700970	chr1:7700704-7700970	ENSG00000269978	lncRNA	AL359881.1
203	chr1	7771296	7781432	+	chr1:7771296	chr1:7771296-7781432	ENSG00000049245	protein_coding	VAMP3
204	chr1	7776383	7776775	+	chr1:7776383	chr1:7776383-7776775	ENSG00000269925	lncRNA	Z98884.2
205	chr1	7784320	7845177	+	chr1:7784320	chr1:7784320-7845177	ENSG00000049246	protein_coding	PER3
206	chr1	7810242	7827342	-	chr1:7827342	chr1:7810242-7827342	ENSG00000236266	lncRNA	Z98884.1
207	chr1	7843083	7853512	-	chr1:7853512	chr1:7843083-7853512	ENSG00000049247	protein_coding	UTS2
208	chr1	7915894	7943165	-	chr1:7943165	chr1:7915894-7943165	ENSG00000049249	protein_coding	TNFRSF9
209	chr1	7954291	7985505	+	chr1:7954291	chr1:7954291-7985505	ENSG00000116288	protein_coding	PARK7
210	chr1	7991134	8005312	+	chr1:7991134	chr1:7991134-8005312	ENSG00000284747	lncRNA	AL034417.4
211	chr1	7998187	7999934	-	chr1:7999934	chr1:7998187-7999934	ENSG00000284716	lncRNA	AL034417.3
212	chr1	8004404	8026309	-	chr1:8026309	chr1:8004404-8026309	ENSG00000116285	protein_coding	ERRFI1
213	chr1	8026738	8122702	+	chr1:8026738	chr1:8026738-8122702	ENSG00000238290	lncRNA	AL034417.2
214	chr1	8201518	8215210	+	chr1:8201518	chr1:8201518-8215210	ENSG00000227634	lncRNA	LINC01714
215	chr1	8218190	8220529	-	chr1:8220529	chr1:8218190-8220529	ENSG00000233645	lncRNA	AL358876.2
216	chr1	8317826	8344167	+	chr1:8317826	chr1:8317826-8344167	ENSG00000162426	protein_coding	SLC45A1
217	chr1	8352397	8848921	-	chr1:8848921	chr1:8352397-8848921	ENSG00000142599	protein_coding	RERE
218	chr1	8424645	8435013	+	chr1:8424645	chr1:8424645-8435013	ENSG00000232912	lncRNA	RERE-AS1
219	chr1	8805860	8807051	-	chr1:8807051	chr1:8805860-8807051	ENSG00000228423	lncRNA	AL357552.2
220	chr1	8861000	8879190	-	chr1:8879190	chr1:8861000-8879190	ENSG00000074800	protein_coding	ENO1
221	chr1	8878835	8879894	+	chr1:8878835	chr1:8878835-8879894	ENSG00000230679	lncRNA	ENO1-AS1
222	chr1	8945867	8975092	+	chr1:8945867	chr1:8945867-8975092	ENSG00000131686	protein_coding	CA6
223	chr1	9003300	9026345	-	chr1:9026345	chr1:9003300-9026345	ENSG00000197241	protein_coding	SLC2A7
224	chr1	9035106	9088478	-	chr1:9088478	chr1:9035106-9088478	ENSG00000142583	protein_coding	SLC2A5
225	chr1	9100305	9129102	-	chr1:9129102	chr1:9100305-9129102	ENSG00000180758	protein_coding	GPR157
226	chr1	9148011	9198906	-	chr1:9198906	chr1:9148011-9198906	ENSG00000228526	lncRNA	MIR34AHG
227	chr1	9182004	9196284	+	chr1:9182004	chr1:9182004-9196284	ENSG00000234546	lncRNA	LNCTAM34A
228	chr1	9234775	9271337	+	chr1:9234775	chr1:9234775-9271337	ENSG00000049239	protein_coding	H6PD
229	chr1	9292894	9369532	+	chr1:9292894	chr1:9292894-9369532	ENSG00000171621	protein_coding	SPSB1
230	chr1	9421098	9422862	-	chr1:9422862	chr1:9421098-9422862	ENSG00000284652	lncRNA	BX323043.1
231	chr1	9425094	9440564	-	chr1:9440564	chr1:9425094-9440564	ENSG00000284693	lncRNA	LINC02606
232	chr1	9501092	9503471	-	chr1:9503471	chr1:9501092-9503471	ENSG00000235263	lncRNA	AL928921.1
233	chr1	9539465	9585173	+	chr1:9539465	chr1:9539465-9585173	ENSG00000171612	protein_coding	SLC25A33
234	chr1	9588911	9614877	+	chr1:9588911	chr1:9588911-9614877	ENSG00000188807	protein_coding	TMEM201
235	chr1	9651731	9729114	+	chr1:9651731	chr1:9651731-9729114	ENSG00000171608	protein_coding	PIK3CD
236	chr1	9652610	9654586	-	chr1:9654586	chr1:9652610-9654586	ENSG00000179840	lncRNA	PIK3CD-AS1
237	chr1	9672426	9687555	-	chr1:9687555	chr1:9672426-9687555	ENSG00000231789	lncRNA	PIK3CD-AS2
238	chr1	9729026	9824526	-	chr1:9824526	chr1:9729026-9824526	ENSG00000171603	protein_coding	CLSTN1
239	chr1	9848276	9910336	-	chr1:9910336	chr1:9848276-9910336	ENSG00000178585	protein_coding	CTNNBIP1
240	chr1	9848318	9850154	+	chr1:9848318	chr1:9848318-9850154	ENSG00000223989	lncRNA	AL357140.1
241	chr1	9900614	9908034	+	chr1:9900614	chr1:9900614-9908034	ENSG00000285701	lncRNA	AL357140.4
242	chr1	9922113	9943407	-	chr1:9943407	chr1:9922113-9943407	ENSG00000162441	protein_coding	LZIC
243	chr1	9942923	9949974	+	chr1:9942923	chr1:9942923-9949974	ENSG00000228150	lncRNA	AL357140.2
244	chr1	9943428	9985501	+	chr1:9943428	chr1:9943428-9985501	ENSG00000173614	protein_coding	NMNAT1
